instru,curr date,dte,#10,#10,#15,#15,#20,#20,#25,#25
FINNIFTY,2023-04-27,2,2.3,,4.4,,6.4,,2.7,
FINNIFTY,2023-03-10,2,-6.6,,-10.0,,-6.6,,-10.4,
FINNIFTY,2023-01-27,2,0,,-3.0,,-2.8,,-3.2,
FINNIFTY,2023-02-24,2,-1.5,,-3.0,,-4.1,,-1.6,
FINNIFTY,2022-12-30,2,2.4,,2.3,,1.2,,1.1,
FINNIFTY,2023-05-05,2,-10.2,,-22.2,,-18.0,,-29.4,
FINNIFTY,2023-02-03,2,1.3,,1.1,,1.2,,-1.1,
FINNIFTY,2023-04-06,2,9.6,,10.9,,12.7,,12.7,
FINNIFTY,2023-04-21,2,-4.6,,-9.5,,-15.7,,-10.2,
FINNIFTY,2023-03-02,2,-6.4,,-6.6,,-14.6,,-9.4,
FINNIFTY,2023-01-13,2,-1.1,,-2.2,,-2.9,,1.1,
FINNIFTY,2023-04-13,2,-0.4,,0.8,,2.8,,-2.8,
FINNIFTY,2023-01-06,2,-1.1,,-6.0,,-0.9,,-8.0,
FINNIFTY,2023-02-10,2,-2.0,,0.1,,1.5,,-1.3,
FINNIFTY,2023-03-24,2,3.7,,5.2,,4.5,,4.6,
FINNIFTY,2023-02-17,2,1.9,,3.7,,3.3,,5.0,
FINNIFTY,2023-01-20,2,-9.6,,-15.0,,-10.6,,-13.0,
FINNIFTY,2023-03-17,2,-2.7,,-6.6,,-8.7,,-15.4,
