instru,curr date,dte,#10,#10,#15,#15,#20,#20,#25,#25
FINNIFTY,2023-04-28,1,0.8,,-5.7,,-0.1,,-0.1,
FINNIFTY,2023-03-13,1,9.5,,14.0,,13.8,,18.4,
FINNIFTY,2023-01-30,1,-1.9,,-5.4,,-6.6,,-7.2,
FINNIFTY,2023-02-27,1,2.3,,2.3,,1.7,,1.7,
FINNIFTY,2023-01-02,1,7.3,,7.3,,9.0,,9.0,
FINNIFTY,2023-05-08,1,9.2,,14.1,,12.1,,17.8,
FINNIFTY,2023-02-06,1,5.8,,9.5,,11.2,,11.2,
FINNIFTY,2023-04-10,1,-19.6,,-12.6,,-32.1,,-21.1,
FINNIFTY,2023-04-24,1,7.1,,5.9,,9.9,,7.0,
FINNIFTY,2023-03-03,1,-30.0,,-46.2,,-46.2,,-36.6,
FINNIFTY,2023-01-16,1,-3.4,,-1.6,,-4.8,,-2.0,
FINNIFTY,2023-04-17,1,6.6,,6.6,,7.0,,7.0,
FINNIFTY,2023-01-09,1,-17.3,,-22.4,,-22.4,,-35.4,
FINNIFTY,2023-02-13,1,7.8,,8.0,,9.0,,9.0,
FINNIFTY,2023-03-27,1,0.3,,5.5,,-0.8,,6.1,
FINNIFTY,2023-02-20,1,3.9,,3.9,,5.2,,5.5,
FINNIFTY,2023-01-23,1,2.9,,2.9,,2.9,,-6.9,
FINNIFTY,2023-03-20,1,3.4,,2.0,,4.7,,3.0,
