instru,expiry date,curr date,entry time,exit time,dte,spot entry,spot exit,spot move,buy ce,buy pe,sell ce,sell pe,max profit,max loss,P&L,live mtm
SENSEX,2024-06-07 00:00:00,2024-06-07 09:30:00,9 20,15 25,0,75100,76600,1500,197.0,189.6,1.65,3.05,1618.1,381.90000000000003,817.3,67.75000000000001,38.2,28.600000000000023,36.20000000000002,8.700000000000031,9.100000000000009,-14.800000000000011,92.85000000000004,41.950000000000074,67.79999999999998,32.35000000000002,-29.099999999999994,-12.600000000000009,45.650000000000006,38.00000000000006,209.39999999999998,168.59999999999997,172.15,164.95,188.04999999999998,217.34999999999994,258.54999999999995,227.14999999999995,211.75,221.99999999999997,184.89999999999992,311.25000000000006,429.19999999999993,433.44999999999993,660.0999999999999,662.0,664.55,682.1000000000001,713.95,596.35,597.8,641.4000000000001,653.45,621.35,688.5500000000001,693.3,684.75,609.4,639.0,628.4999999999999,555.0,604.55,585.45,553.7,530.25,564.45,644.6999999999999,694.5999999999999,755.55,631.6999999999999,555.1999999999999,674.4,739.1499999999999,786.0999999999999,786.8,669.1,746.8,717.4,638.95,688.6000000000001,830.85,884.0500000000002,903.1,833.2499999999999,861.0,814.25,837.6000000000001,817.2500000000001,
SENSEX,2024-03-15 00:00:00,2024-03-15 09:30:00,9 20,15 25,0,72900,72700,-200,66.25,77.45,0.9,1.0,1858.2,141.79999999999998,-141.9,10.800000000000002,7.899999999999999,-1.4499999999999993,1.149999999999995,-25.600000000000005,-24.600000000000005,-29.150000000000002,-28.400000000000006,-41.5,-40.150000000000006,-52.650000000000006,-39.25000000000001,-45.90000000000001,-47.6,-45.550000000000004,-51.5,-59.650000000000006,-69.65,-68.65,-58.75000000000001,-54.95000000000001,-43.55000000000001,-45.150000000000006,-56.2,-48.35000000000001,-55.95,-60.45,-54.8,-57.150000000000006,-66.65,-59.60000000000001,-57.45000000000001,-65.85000000000001,-58.25,-65.60000000000001,-59.150000000000006,-62.1,-62.10000000000001,-66.0,-66.7,-70.55,-76.10000000000001,-78.0,-90.30000000000001,-85.25,-89.10000000000001,-91.45,-85.75,-97.85,-94.15,-109.5,-116.0,-120.05000000000001,-124.5,-125.8,-122.1,-126.10000000000001,-128.25,-124.1,-123.65,-116.8,-113.60000000000001,-113.8,-125.15,-128.3,-135.54999999999998,-132.9,-139.75,-140.65,-141.45,-141.6,-141.85,
SENSEX,2024-03-22 00:00:00,2024-03-22 09:30:00,9 20,15 25,0,72400,72800,400,71.65,49.15,0.85,0.8,1880.85,119.15000000000002,-89.1,25.749999999999993,56.69999999999998,21.0,23.449999999999992,26.349999999999987,18.199999999999992,22.249999999999996,55.54999999999999,70.04999999999998,50.44999999999999,111.15,168.0,124.8,139.0,116.44999999999999,135.2,82.75,46.84999999999998,90.4,32.1,56.34999999999999,65.5,27.500000000000007,53.69999999999998,52.74999999999999,68.19999999999999,71.3,111.64999999999999,70.04999999999998,81.24999999999997,89.24999999999997,86.85,59.64999999999997,66.04999999999998,37.59999999999999,22.199999999999974,43.9,26.649999999999977,10.249999999999993,0.8999999999999844,20.849999999999987,17.69999999999999,53.09999999999999,43.65,50.349999999999994,17.649999999999984,27.299999999999983,30.149999999999977,11.549999999999997,21.299999999999976,-12.850000000000001,-23.850000000000005,-21.35000000000001,-38.45,-17.4,-38.40000000000001,-44.900000000000006,-36.1,-14.95000000000001,0.4999999999999929,38.899999999999984,32.84999999999998,27.199999999999974,27.24999999999997,138.14999999999998,119.64999999999998,81.34999999999997,33.54999999999999,-16.800000000000008,-20.1,-101.65,-88.30000000000001,-89.1,
SENSEX,2024-02-16 00:00:00,2024-02-16 09:30:00,9 20,15 25,0,72300,72400,100,93.6,114.3,0.75,1.35,1794.2,205.79999999999998,-205.8,1.5500000000000025,5.000000000000009,-15.049999999999985,-23.049999999999986,-43.89999999999999,-56.9,-76.25,-78.69999999999999,-84.74999999999999,-82.89999999999999,-81.95,-92.69999999999999,-95.95,-99.1,-105.99999999999999,-122.8,-126.35,-129.65,-128.7,-136.05,-136.1,-135.55,-136.04999999999998,-136.5,-137.39999999999998,-136.7,-143.2,-140.6,-141.6,-141.79999999999998,-144.15,-144.55,-144.6,-145.05,-144.9,-150.75,-152.5,-154.75,-156.5,-158.29999999999998,-158.85000000000002,-158.95,-156.7,-154.15,-160.05,-158.8,-165.54999999999998,-170.45,-170.25,-171.45,-169.6,-174.5,-172.35000000000002,-166.95,-175.65,-182.1,-183.04999999999998,-186.89999999999998,-189.95,-191.2,-194.0,-192.35,-197.64999999999998,-194.55,-198.95,-200.35,-201.64999999999998,-202.6,-204.5,-205.2,-205.45,-205.7,-205.8,
SENSEX,2024-06-21 00:00:00,2024-06-21 09:30:00,9 20,15 25,0,77600,77200,-400,85.6,105.55,1.15,1.65,1811.65,188.34999999999997,-188.0,-17.749999999999993,-37.599999999999994,-39.29999999999998,-52.05,-0.8499999999999872,-9.199999999999982,-54.8,-70.9,-46.59999999999999,-52.949999999999996,-50.849999999999994,-66.19999999999999,-64.99999999999999,-81.8,-60.09999999999999,60.59999999999998,73.85000000000004,22.300000000000026,1.700000000000017,31.900000000000006,35.35000000000001,12.90000000000002,43.95,23.90000000000002,29.350000000000023,-8.099999999999987,-47.249999999999986,-35.699999999999996,-44.999999999999986,-38.049999999999976,-35.74999999999999,-50.999999999999986,-38.999999999999986,-45.19999999999998,-35.50000000000001,-27.899999999999977,-28.99999999999998,16.450000000000017,114.4,158.0,132.25,136.35000000000002,144.10000000000002,179.7,210.99999999999997,156.55,154.95000000000002,100.84999999999998,113.35,103.19999999999999,60.80000000000001,75.69999999999999,66.49999999999999,-73.54999999999998,-63.14999999999998,-112.1,-112.85,-114.89999999999999,-73.84999999999998,246.85000000000002,107.75,285.4,108.59999999999998,-16.69999999999999,14.000000000000014,-123.1,-161.74999999999997,-180.14999999999998,-176.59999999999997,-163.7,-182.09999999999997,-187.99999999999997,
SENSEX,2024-05-24 00:00:00,2024-05-24 09:30:00,9 20,15 25,0,75400,75400,0,111.85,92.65,1.05,2.05,1798.6,201.39999999999998,-201.4,-21.85,-29.4,-44.49999999999999,-53.60000000000001,-60.2,-73.4,-76.99999999999999,-77.7,-83.90000000000002,-86.15,-89.85000000000001,-94.80000000000001,-114.4,-111.95,-114.35000000000001,-122.19999999999999,-131.5,-131.9,-133.7,-135.1,-137.15,-140.25,-141.60000000000002,-146.64999999999998,-147.45,-147.8,-147.85000000000002,-153.10000000000002,-153.4,-154.35000000000002,-156.0,-158.10000000000002,-158.75,-161.25,-161.35000000000002,-159.65,-157.20000000000002,-161.10000000000002,-157.3,-159.0,-158.35000000000002,-160.5,-155.45,-157.15,-152.45,-152.8,-164.5,-166.85000000000002,-167.7,-165.95,-170.85,-172.10000000000002,-178.3,-177.3,-177.95,-180.60000000000002,-181.89999999999998,-183.75,-185.9,-174.5,-187.75,-186.35000000000002,-189.35000000000002,-191.5,-194.55,-194.7,-195.8,-197.7,-199.89999999999998,-200.5,-201.05,-201.25,-201.35000000000002,
SENSEX,2024-02-23 00:00:00,2024-02-23 09:30:00,9 20,15 25,0,73300,73100,-200,82.65,79.4,0.7,1.1,1839.75,160.25000000000003,-160.3,-8.200000000000003,-13.600000000000012,-22.500000000000007,-29.300000000000015,-36.45000000000001,-44.85000000000001,-53.35000000000001,-61.35000000000001,-67.5,-73.50000000000001,-66.95000000000002,-71.15,-80.10000000000001,-83.85000000000002,-80.70000000000002,-78.05000000000001,-91.20000000000002,-94.15,-102.4,-105.1,-108.9,-110.85000000000001,-111.75,-113.55000000000001,-114.65,-116.0,-115.15,-114.85000000000001,-114.25,-98.70000000000002,-109.80000000000001,-113.9,-119.4,-119.80000000000001,-118.30000000000001,-117.95000000000002,-124.05000000000001,-124.25,-125.9,-128.0,-129.60000000000002,-129.9,-129.8,-130.25,-130.60000000000002,-133.5,-133.70000000000002,-132.8,-106.85000000000001,-126.0,-136.9,-135.0,-135.05,-131.8,-131.85000000000002,-132.65,-137.25,-135.05,-125.30000000000001,-133.9,-135.95,-137.15,-135.85000000000002,-146.95000000000002,-151.8,-153.60000000000002,-155.95000000000005,-156.50000000000003,-158.9,-159.60000000000002,-159.8,-159.95000000000002,-160.25,
SENSEX,2023-10-13 00:00:00,2023-10-13 09:30:00,9 20,15 25,0,66100,66200,100,7.9,16.2,0.6,0.75,1977.25,22.75,-22.8,-3.8999999999999986,-3.75,-3.3999999999999986,-4.3,-5.45,-6.55,-7.55,-7.099999999999999,-8.85,-8.9,-10.45,-9.65,-10.149999999999999,-9.649999999999999,-9.1,-6.9,-6.949999999999999,-8.2,-8.75,-8.6,-9.05,-9.2,-10.299999999999999,-12.55,-12.799999999999999,-13.849999999999998,-14.100000000000001,-14.549999999999999,-15.4,-15.8,-15.599999999999998,-16.599999999999998,-16.1,-16.599999999999998,-16.75,-16.900000000000002,-15.5,-7.05,-6.6,-6.95,-10.8,-12.299999999999999,-1.299999999999999,-11.899999999999999,-11.2,-11.45,-12.2,-11.649999999999999,-11.349999999999998,-10.7,-2.6499999999999986,9.750000000000005,13.400000000000002,4.450000000000005,-14.950000000000001,-15.549999999999999,-19.549999999999997,-20.35,-21.3,-22.55,-22.5,-22.6,-22.65,-22.75,
SENSEX,2023-12-15 00:00:00,2023-12-15 09:30:00,9 20,15 25,0,70800,71600,800,10.0,11.45,0.05,0.7,1979.3,20.7,284.1,4.850000000000001,10.300000000000002,9.099999999999998,0.5000000000000013,6.300000000000001,10.15,28.05,10.950000000000003,20.549999999999997,8.350000000000003,10.150000000000002,8.3,2.1500000000000004,0.40000000000000036,1.3499999999999996,-1.4499999999999993,-4.049999999999999,-2.25,-1.7999999999999954,9.05,10.600000000000005,33.24999999999999,39.599999999999994,19.1,9.35,-0.75,1.0999999999999996,-4.5,1.5999999999999996,-0.7999999999999989,-2.349999999999998,-0.04999999999999716,13.45,78.19999999999999,110.44999999999999,213.5,197.60000000000002,286.2,308.9,284.09999999999997,
SENSEX,2023-12-22 00:00:00,2023-12-22 09:30:00,9 20,15 25,0,70900,71000,100,38.1,37.4,1.0,1.4,1926.9,73.1,-73.2,7.7,15.55,10.050000000000004,9.25,6.349999999999998,31.000000000000004,48.55,44.35,48.80000000000001,40.05,35.3,33.5,25.950000000000003,29.9,16.949999999999996,20.849999999999994,11.650000000000002,16.849999999999998,21.450000000000003,29.849999999999998,23.25,14.05,13.400000000000002,4.849999999999998,11.55,6.549999999999997,-3.4000000000000057,-5.899999999999999,3.4499999999999993,0.29999999999999716,-1.5500000000000078,-5.800000000000001,-7.550000000000004,-17.65,-26.55,-38.0,-37.85,-36.5,-39.45,-38.8,-37.8,-27.249999999999996,-24.600000000000005,-32.400000000000006,-31.55,-45.75,-45.650000000000006,-43.85,-44.900000000000006,-51.25,-49.85,-49.35,-48.150000000000006,-27.0,-44.05,-42.75,-44.95,-52.25,-54.900000000000006,-51.7,-57.0,-58.0,-59.900000000000006,-54.85000000000001,-47.650000000000006,-58.1,-52.650000000000006,-65.35,-71.05000000000001,-71.8,-72.8,-73.05,-73.2,
