instru,expiry date,curr date,entry time,exit time,dte,spot entry,spot exit,spot move,buy ce,buy pe,sell ce,sell pe,max profit,max loss,P&L,live mtm
SENSEX,2024-06-07 00:00:00,2024-06-07 09:30:00,9 20,15 25,0,75100,76600,1500,232.65,222.05,1.9,3.85,1551.05,448.95000000000005,847.8,73.94999999999999,35.24999999999997,25.099999999999966,37.94999999999996,7.649999999999963,1.5499999999999972,-19.550000000000026,94.24999999999997,48.99999999999997,67.80000000000001,28.69999999999999,-34.400000000000006,-17.000000000000057,42.54999999999998,39.64999999999998,214.54999999999995,163.29999999999995,179.0,160.84999999999994,196.95,221.89999999999995,269.8499999999999,236.85000000000002,223.94999999999996,228.35,191.14999999999992,322.55000000000007,443.44999999999993,448.65,671.7,675.4999999999999,680.8,700.55,727.0,609.1499999999999,616.0500000000001,655.75,669.3,648.9499999999999,710.5,713.5500000000001,715.3,634.8499999999999,659.4000000000001,647.1499999999999,584.65,621.7499999999999,604.75,576.9000000000001,551.8,594.0999999999999,661.35,720.35,777.5500000000002,672.75,585.15,696.8,773.5500000000002,813.3499999999999,817.9500000000002,705.8,778.0999999999999,762.05,672.45,733.65,857.25,900.6999999999999,950.8,850.9999999999999,891.1499999999999,847.15,872.4499999999999,847.8,
SENSEX,2024-03-15 00:00:00,2024-03-15 09:30:00,9 20,15 25,0,72900,72700,-200,86.5,98.3,0.9,1.0,1817.1,182.9,-182.8,12.850000000000005,9.5,-1.3500000000000085,-2.4499999999999886,-32.74999999999999,-33.25,-38.15,-36.099999999999994,-52.00000000000001,-51.050000000000004,-65.55,-50.39999999999999,-57.849999999999994,-60.099999999999994,-57.099999999999994,-63.09999999999999,-72.49999999999999,-84.14999999999999,-82.10000000000001,-69.39999999999998,-65.30000000000001,-46.84999999999998,-47.05,-61.89999999999999,-51.65,-60.94999999999999,-68.19999999999999,-60.39999999999999,-63.3,-76.1,-66.2,-61.79999999999999,-72.34999999999998,-58.94999999999999,-68.55,-62.59999999999998,-63.29999999999998,-62.89999999999999,-65.05,-66.14999999999999,-71.89999999999999,-78.39999999999999,-79.19999999999999,-95.6,-87.89999999999999,-90.65,-93.60000000000001,-85.29999999999998,-99.69999999999999,-93.04999999999998,-116.44999999999999,-128.4,-138.45,-148.34999999999997,-150.35,-141.04999999999998,-149.89999999999998,-154.0,-143.95,-141.7,-130.2,-117.69999999999999,-117.3,-138.45,-144.35,-161.84999999999997,-155.25,-172.45,-171.7,-169.34999999999997,-182.4,-182.84999999999997,
SENSEX,2024-03-22 00:00:00,2024-03-22 09:30:00,9 20,15 25,0,72400,72800,400,97.75,65.5,0.85,0.85,1838.45,161.55,-31.7,29.90000000000001,69.19999999999999,25.34999999999999,26.599999999999987,26.95000000000001,21.8,27.049999999999994,71.24999999999999,88.1,63.249999999999986,135.6,201.3,158.29999999999998,173.19999999999996,148.24999999999997,172.09999999999997,107.74999999999999,69.55,122.29999999999998,53.649999999999984,86.25000000000001,96.44999999999997,51.65000000000001,81.29999999999998,80.94999999999999,99.7,99.19999999999999,144.25,98.1,112.39999999999998,121.40000000000002,120.4,91.0,100.25,68.0,54.19999999999999,82.95000000000002,63.20000000000001,45.15,34.74999999999998,57.49999999999999,52.45,91.39999999999998,84.75,93.24999999999997,56.59999999999999,66.64999999999999,70.69999999999999,50.400000000000006,62.999999999999986,21.299999999999983,9.449999999999982,9.800000000000004,-7.299999999999997,16.999999999999993,-3.799999999999983,-9.199999999999989,2.049999999999997,30.5,47.55,89.99999999999997,80.5,77.35,81.20000000000002,189.55,172.25,136.59999999999997,86.25,42.54999999999997,36.400000000000006,-60.85,-33.250000000000014,-31.749999999999993,
SENSEX,2024-02-16 00:00:00,2024-02-16 09:30:00,9 20,15 25,0,72300,72400,100,119.75,137.5,0.8,1.55,1745.1,254.89999999999998,-254.8,0.050000000000013145,1.5999999999999999,-21.850000000000005,-29.249999999999993,-55.75,-69.3,-92.24999999999999,-96.25000000000001,-102.45,-99.70000000000002,-98.60000000000002,-111.85000000000001,-115.1,-119.55,-126.35000000000001,-148.0,-151.55,-156.2,-156.45000000000002,-163.45,-164.25,-163.35000000000002,-164.9,-164.20000000000002,-165.7,-165.20000000000002,-173.3,-169.15000000000003,-170.40000000000003,-171.75,-173.8,-174.5,-174.25,-175.5,-174.75,-182.0,-183.4,-186.55,-188.55,-191.55,-191.7,-191.85000000000002,-188.2,-185.0,-193.10000000000002,-190.8,-198.8,-205.10000000000002,-204.65,-207.7,-204.1,-210.10000000000002,-205.9,-200.05,-210.15000000000003,-220.05,-220.79999999999998,-226.45,-231.0,-233.3,-236.15,-232.2,-240.54999999999998,-235.05,-242.7,-244.74999999999997,-247.9,-249.4,-252.6,-253.95,-254.3,-254.65,-254.75,
SENSEX,2024-06-21 00:00:00,2024-06-21 09:30:00,9 20,15 25,0,77600,77200,-400,105.1,128.35,1.5,1.85,1769.9,230.1,-148.4,-19.249999999999975,-42.44999999999999,-42.15,-58.55,3.5500000000000043,-8.199999999999982,-60.99999999999999,-80.19999999999999,-48.099999999999994,-57.44999999999999,-54.44999999999998,-74.44999999999999,-72.05,-91.34999999999998,-64.99999999999999,80.39999999999999,94.45,36.3,18.200000000000003,54.249999999999986,58.349999999999994,34.05,71.6,45.85000000000001,54.89999999999998,14.050000000000011,-33.249999999999986,-16.89999999999999,-29.099999999999994,-20.700000000000003,-15.250000000000014,-37.24999999999997,-23.200000000000003,-32.04999999999999,-17.499999999999986,-11.949999999999989,-13.800000000000011,41.099999999999966,147.75,194.8,168.0,174.75000000000006,180.0,218.35000000000008,251.50000000000003,198.85000000000002,197.65000000000003,141.35000000000002,153.55,141.25,97.75,115.95000000000003,103.1,-61.80000000000001,-49.249999999999986,-118.39999999999998,-121.99999999999999,-120.54999999999998,-65.55,285.15,139.85000000000002,330.25000000000006,149.75,15.950000000000003,57.05,-111.24999999999999,-174.75,-204.3,-170.95,-115.64999999999998,-135.49999999999997,-148.45,
SENSEX,2024-05-24 00:00:00,2024-05-24 09:30:00,9 20,15 25,0,75400,75400,0,139.7,114.9,1.15,2.15,1748.7,251.29999999999998,-251.2,-24.500000000000007,-34.650000000000006,-53.84999999999999,-64.25,-73.55,-89.35,-91.49999999999999,-95.09999999999998,-100.85,-100.15,-104.59999999999998,-108.79999999999998,-135.89999999999998,-132.29999999999998,-132.8,-143.5,-156.7,-157.85,-160.54999999999998,-164.25,-167.5,-170.99999999999997,-172.34999999999997,-179.5,-179.7,-180.59999999999997,-179.54999999999998,-187.64999999999998,-187.14999999999998,-188.84999999999997,-190.59999999999997,-192.95,-193.39999999999998,-196.54999999999998,-197.45,-194.99999999999997,-192.29999999999998,-196.39999999999998,-192.25,-195.34999999999997,-193.54999999999995,-196.29999999999998,-188.54999999999995,-190.85,-184.79999999999998,-184.64999999999998,-200.84999999999997,-203.59999999999997,-203.39999999999998,-200.75,-207.7,-208.54999999999998,-218.09999999999997,-216.29999999999998,-217.89999999999998,-222.24999999999997,-223.04999999999998,-225.14999999999998,-227.14999999999998,-210.04999999999998,-230.54999999999998,-228.79999999999998,-233.45,-236.34999999999997,-240.10000000000002,-241.59999999999997,-242.95,-246.2,-249.54999999999998,-250.09999999999997,-250.84999999999997,-251.25,-251.14999999999998,
SENSEX,2024-02-23 00:00:00,2024-02-23 09:30:00,9 20,15 25,0,73300,73100,-200,105.3,99.95,0.75,1.35,1796.85,203.15,-203.0,-11.200000000000003,-18.699999999999992,-31.099999999999994,-36.94999999999999,-45.29999999999999,-54.099999999999994,-66.55,-75.45,-83.55,-90.0,-82.55000000000001,-85.35000000000001,-97.3,-102.85,-97.75,-95.7,-112.1,-115.29999999999998,-126.19999999999999,-129.6,-134.55,-135.75,-137.2,-140.0,-140.65,-141.75,-141.35000000000002,-140.55,-140.0,-121.05000000000001,-135.25,-140.2,-147.5,-148.10000000000002,-146.6,-145.9,-153.39999999999998,-154.10000000000002,-155.20000000000002,-158.8,-160.55,-161.25,-160.55,-161.35000000000002,-162.1,-165.55,-165.60000000000002,-163.9,-130.1,-156.65,-170.8,-168.5,-168.8,-164.10000000000002,-164.7,-165.95,-171.40000000000003,-167.7,-153.4,-165.35000000000002,-167.95,-169.60000000000002,-167.4,-183.25,-190.3,-192.64999999999998,-195.85000000000002,-197.40000000000003,-200.9,-202.10000000000002,-202.45,-202.64999999999998,-203.0,
SENSEX,2023-11-10 00:00:00,2023-11-10 09:30:00,9 20,15 25,0,64600,65000,400,14.05,13.0,0.7,0.8,1974.45,25.55,-17.4,-1.65,-0.7000000000000011,-1.5500000000000003,-0.7000000000000002,-0.5999999999999996,-3.8,-4.750000000000002,-6.000000000000001,-5.8500000000000005,-7.200000000000002,2.6999999999999993,0.15000000000000036,3.8499999999999996,1.450000000000001,-3.250000000000001,-5.450000000000001,-5.400000000000001,-3.500000000000001,-4.999999999999999,-5.450000000000001,-5.950000000000001,-4.15,-4.8500000000000005,-4.349999999999999,-3.6999999999999984,-2.6500000000000004,6.9999999999999964,7.149999999999997,9.849999999999996,10.899999999999997,12.799999999999995,10.75,9.499999999999998,10.899999999999997,11.249999999999998,10.75,8.799999999999999,14.799999999999995,12.699999999999994,2.4499999999999975,-12.5,-10.65,-12.0,-15.1,-19.65,-21.25,-19.65,-21.65,-23.150000000000002,-21.25,-21.65,-20.9,-8.900000000000002,-15.95,-16.8,-22.35,-17.4,
SENSEX,2023-12-15 00:00:00,2023-12-15 09:30:00,9 20,15 25,0,70800,71600,800,19.35,20.75,0.05,0.7,1960.65,39.35,367.4,5.399999999999997,12.95,11.999999999999996,-0.350000000000001,1.6999999999999984,1.0499999999999985,13.75,17.849999999999998,78.9,65.50000000000001,41.0,23.05,24.34999999999999,11.249999999999995,12.65,16.65,14.350000000000001,14.05,11.899999999999997,29.449999999999996,20.14999999999999,8.400000000000002,15.799999999999997,10.899999999999997,12.700000000000001,4.199999999999999,16.599999999999994,10.100000000000001,19.949999999999996,14.549999999999997,15.95,28.149999999999984,28.5,12.749999999999996,17.65,8.300000000000002,8.850000000000001,6.949999999999999,8.650000000000002,4.25,0.14999999999999858,3.400000000000002,4.599999999999994,28.9,34.39999999999999,75.65,85.85000000000001,55.89999999999999,36.75,19.55,24.249999999999993,10.5,27.700000000000003,23.649999999999988,25.599999999999987,31.95,69.55000000000001,152.9,189.54999999999998,295.74999999999994,282.2,371.05,388.04999999999995,367.45,
SENSEX,2023-12-22 00:00:00,2023-12-22 09:30:00,9 20,15 25,0,70900,71000,100,56.0,53.65,1.1,1.4,1892.85,107.15,-107.1,11.100000000000007,15.800000000000002,12.0,10.549999999999999,6.899999999999999,42.150000000000006,64.95,58.650000000000006,62.14999999999999,47.20000000000001,43.59999999999998,41.04999999999998,34.69999999999998,37.349999999999994,21.1,27.199999999999996,17.400000000000013,22.85,28.04999999999999,40.25000000000001,31.650000000000013,22.29999999999999,21.6,9.300000000000004,21.549999999999983,17.650000000000013,5.649999999999999,3.5,12.350000000000001,11.25,7.000000000000007,1.5,-2.1499999999999986,-12.249999999999993,-25.900000000000006,-41.650000000000006,-41.35,-41.55,-56.39999999999999,-52.0,-44.9,-30.500000000000004,-30.449999999999996,-38.85,-36.8,-60.45,-59.800000000000004,-58.2,-60.849999999999994,-71.45,-69.3,-71.05,-70.1,-42.89999999999999,-64.5,-61.99999999999999,-65.35,-75.65,-79.45,-73.05,-81.35,-80.44999999999999,-82.2,-71.5,-57.1,-74.75,-63.5,-89.55000000000001,-102.55000000000001,-105.75,-105.9,-107.0,-107.1,
