instru,expiry date,curr date,entry time,exit time,dte,spot entry,spot exit,spot move,buy ce,buy pe,sell ce,sell pe,max profit,max loss,P&L,live mtm
SENSEX,2024-06-07 00:00:00,2024-06-07 09:30:00,10 10,15 25,0,75600,76600,1000,191.05,119.2,1.65,4.55,1695.95,304.05,392.8,2.7999999999999865,8.399999999999963,-8.600000000000023,-16.750000000000007,-18.500000000000014,63.549999999999976,28.799999999999983,34.499999999999964,27.699999999999996,42.199999999999974,37.99999999999999,60.74999999999997,42.39999999999999,36.84999999999997,39.19999999999997,20.250000000000014,83.19999999999997,160.40000000000003,168.7,360.99999999999994,363.99999999999994,358.7499999999999,373.69999999999993,388.54999999999995,296.8499999999999,290.65,312.29999999999995,317.25,299.04999999999995,349.74999999999994,355.49999999999994,343.19999999999993,277.5,289.5,283.85,226.84999999999997,257.49999999999994,238.14999999999995,213.34999999999997,186.09999999999997,210.09999999999997,268.4,311.59999999999997,365.45,248.99999999999994,176.39999999999998,274.25,331.09999999999997,379.0,380.29999999999995,269.74999999999994,330.20000000000005,309.8499999999999,231.75,274.49999999999994,410.5,469.0999999999999,481.6500000000001,414.0,438.55000000000007,391.09999999999997,415.95000000000005,392.85,
SENSEX,2024-03-15 00:00:00,2024-03-15 09:30:00,10 10,15 25,0,72700,72700,0,37.1,51.15,1.0,1.1,1913.85,86.15,-86.2,-4.799999999999995,-5.8500000000000005,-11.65,-16.25,-18.55,-21.200000000000003,-24.549999999999997,-31.049999999999997,-30.7,-30.950000000000003,-29.200000000000003,-24.099999999999998,-27.1,-33.50000000000001,-30.15,-33.550000000000004,-35.25,-32.150000000000006,-33.35,-37.05,-35.7,-36.75,-40.650000000000006,-39.15,-43.199999999999996,-41.6,-42.4,-42.6,-44.75,-44.85,-48.599999999999994,-51.699999999999996,-54.55,-59.3,-60.2,-61.849999999999994,-62.45,-62.05,-65.69999999999999,-66.45,-68.2,-70.75,-70.0,-71.15,-73.1,-74.55,-76.15,-76.64999999999999,-77.9,-78.80000000000001,-78.25,-78.1,-82.04999999999998,-83.65,-83.25,-85.15,-85.35,-86.05000000000001,-85.94999999999999,-86.15,
SENSEX,2024-03-22 00:00:00,2024-03-22 09:30:00,10 10,15 25,0,72600,72800,200,68.85,66.45,0.75,1.25,1866.7,133.3,-133.2,26.30000000000001,52.64999999999999,24.65,27.3,14.050000000000004,26.700000000000003,-2.2499999999999964,-22.849999999999998,-4.999999999999989,-34.89999999999999,-27.299999999999997,-24.650000000000002,-44.449999999999996,-32.45,-34.6,-25.099999999999994,-22.64999999999999,-1.3000000000000043,-27.35,-24.299999999999997,-22.85,-24.84999999999999,-45.3,-45.0,-61.89999999999999,-72.25,-65.45,-76.75,-86.30000000000001,-89.9,-82.5,-83.69999999999999,-67.6,-74.85,-72.4,-90.94999999999999,-86.1,-85.0,-91.5,-87.9,-103.04999999999998,-107.05,-106.19999999999999,-111.4,-108.1,-115.85,-118.9,-117.5,-112.8,-107.5,-91.64999999999999,-97.79999999999998,-104.09999999999998,-106.5,-44.79999999999998,-48.89999999999999,-87.3,-114.85,-130.10000000000002,-131.9,-132.35,-133.09999999999997,-133.14999999999998,
SENSEX,2024-02-16 00:00:00,2024-02-16 09:30:00,10 10,15 25,0,72400,72400,0,57.65,64.5,0.95,1.65,1880.45,119.55,-119.4,-0.25,-7.500000000000005,-11.849999999999996,-20.999999999999996,-24.299999999999994,-35.95,-42.400000000000006,-43.64999999999999,-46.2,-52.3,-54.14999999999999,-53.35,-52.75,-55.0,-54.5,-54.2,-57.599999999999994,-52.449999999999996,-53.3,-55.800000000000004,-59.599999999999994,-61.05,-61.45,-61.650000000000006,-62.550000000000004,-65.44999999999999,-65.8,-68.39999999999999,-71.54999999999998,-75.65,-76.30000000000001,-78.15,-77.8,-75.85,-79.45,-79.1,-83.8,-86.94999999999999,-87.5,-88.1,-90.25,-92.85,-92.89999999999999,-89.64999999999999,-95.05,-98.9,-101.0,-103.95,-104.35,-105.69999999999999,-108.35,-109.0,-112.85,-111.8,-114.44999999999999,-115.15,-115.74999999999999,-116.94999999999999,-118.19999999999999,-119.05000000000001,-119.15,-119.44999999999999,-119.44999999999999,
SENSEX,2024-06-21 00:00:00,2024-06-21 09:30:00,10 10,15 25,0,77500,77200,-300,44.8,82.2,1.6,1.6,1876.2,123.80000000000001,-123.8,0.14999999999999547,-12.55,-9.449999999999992,-22.900000000000002,-12.800000000000006,84.14999999999999,92.19999999999999,48.8,30.24999999999999,52.19999999999999,51.949999999999996,37.2,60.34999999999999,42.900000000000006,46.29999999999999,15.799999999999997,-13.400000000000002,-7.900000000000002,-17.050000000000004,-10.799999999999994,-9.399999999999999,-18.5,-9.249999999999996,-14.099999999999994,-6.850000000000005,0.19999999999999574,-0.54999999999999,37.09999999999998,119.49999999999997,155.0,128.65,132.75,137.55,171.4,198.85000000000002,147.85000000000002,146.05,96.70000000000002,105.34999999999998,97.1,59.24999999999998,72.80000000000001,66.69999999999999,-38.55,-33.199999999999996,-57.5,-63.699999999999996,-64.14999999999999,-37.25,249.00000000000006,113.14999999999999,266.2,99.59999999999997,-11.999999999999996,5.449999999999996,-89.65,-110.9,-119.65,-121.60000000000002,-121.0,-123.55000000000001,-123.80000000000001,
SENSEX,2024-05-24 00:00:00,2024-05-24 09:30:00,10 10,15 25,0,75300,75400,100,43.1,66.9,1.4,2.3,1893.7,106.3,-106.2,-6.700000000000006,-9.75000000000001,-17.50000000000001,-25.350000000000005,-25.85000000000001,-31.950000000000003,-37.25000000000001,-39.650000000000006,-35.10000000000001,-34.85000000000001,-36.40000000000001,-40.70000000000001,-44.70000000000001,-46.25000000000001,-47.40000000000001,-49.60000000000001,-49.55000000000001,-54.85000000000001,-54.85000000000001,-57.55000000000001,-57.85000000000001,-60.45000000000001,-62.25000000000001,-64.25000000000001,-64.10000000000001,-64.60000000000001,-63.650000000000006,-64.4,-58.85000000000001,-60.050000000000004,-58.95000000000001,-62.75000000000001,-52.15000000000001,-52.20000000000002,-46.20000000000001,-45.90000000000001,-64.95,-64.45,-62.60000000000001,-59.900000000000006,-67.35000000000001,-67.45,-77.85000000000001,-75.45000000000002,-77.05000000000001,-81.75000000000001,-81.25,-83.25000000000001,-84.25000000000001,-66.65,-87.85000000000001,-89.05000000000001,-91.4,-94.25,-96.9,-99.55000000000001,-100.45000000000002,-103.2,-105.05000000000001,-105.25,-105.9,-106.2,-106.20000000000002,
SENSEX,2024-02-23 00:00:00,2024-02-23 09:30:00,10 10,15 25,0,73300,73100,-200,50.75,38.2,0.75,1.45,1913.25,86.75,-86.8,6.549999999999995,2.3499999999999996,-6.600000000000003,-10.35000000000001,-7.200000000000003,-4.550000000000004,-17.700000000000006,-20.65,-28.900000000000006,-31.6,-35.400000000000006,-37.35,-38.25,-40.050000000000004,-41.150000000000006,-42.5,-41.650000000000006,-41.35,-40.75000000000001,-25.200000000000003,-36.300000000000004,-40.4,-45.900000000000006,-46.300000000000004,-44.8,-44.45,-50.55,-50.75,-52.4,-54.5,-56.1,-56.400000000000006,-56.300000000000004,-56.75,-57.10000000000001,-60.0,-60.2,-59.300000000000004,-33.35000000000001,-52.5,-63.4,-61.500000000000014,-61.55,-58.300000000000004,-58.35,-59.150000000000006,-63.75000000000001,-61.55,-51.800000000000004,-60.400000000000006,-62.45,-63.650000000000006,-62.35,-73.45,-78.30000000000001,-80.1,-82.44999999999999,-83.0,-85.4,-86.1,-86.3,-86.44999999999999,-86.75,
SENSEX,2023-10-13 00:00:00,2023-10-13 09:30:00,10 10,15 25,0,66000,66200,200,10.65,4.95,0.75,0.5,1985.65,14.350000000000001,-14.3,-0.5500000000000007,-1.3500000000000005,-1.1000000000000003,2.2,3.5,0.39999999999999947,0.4499999999999984,0.7,0.8,0.9000000000000006,1.0,-0.3500000000000004,-2.5500000000000003,-3.6500000000000004,-4.3500000000000005,-4.25,-6.550000000000001,-0.8500000000000014,0.09999999999999876,-0.9000000000000012,-2.650000000000001,-4.1000000000000005,-2.200000000000001,6.1000000000000005,26.950000000000003,24.900000000000006,22.400000000000002,12.299999999999999,8.350000000000001,37.5,15.800000000000004,16.449999999999996,15.600000000000001,13.349999999999998,17.5,24.700000000000003,29.049999999999997,51.25000000000001,72.14999999999999,74.64999999999999,63.55,33.9,19.550000000000004,5.199999999999999,-7.1000000000000005,-9.05,-10.700000000000001,-13.5,-14.2,-14.3,-14.3,
SENSEX,2023-12-22 00:00:00,2023-12-22 09:30:00,10 10,15 25,0,71100,71000,-100,48.0,37.55,0.95,1.9,1917.3,82.69999999999999,-82.9,-5.349999999999995,-8.149999999999999,-12.399999999999995,-15.299999999999994,-23.64999999999999,-23.35,-28.349999999999994,-28.4,-25.899999999999995,-26.049999999999997,-29.300000000000004,-34.0,-34.8,-36.25,-36.05,-38.95,-43.0,-43.949999999999996,-40.8,-42.25,-43.95,-47.3,-48.45,-52.55,-54.099999999999994,-51.349999999999994,-54.349999999999994,-53.14999999999999,-34.29999999999999,-34.54999999999999,-55.599999999999994,-55.95,-54.949999999999996,-58.9,-59.14999999999999,-58.69999999999999,-58.849999999999994,-61.449999999999996,-61.8,-60.75,-57.5,-49.04999999999999,-38.79999999999999,-1.5500000000000043,-35.699999999999996,-24.79999999999999,-34.099999999999994,-59.499999999999986,-54.849999999999994,-66.19999999999999,-64.0,-66.14999999999999,-68.44999999999999,-73.05,-73.1,-76.5,-76.55,-78.95,-80.9,-81.94999999999999,-82.35,-82.85,-82.9,
SENSEX,2024-01-25 00:00:00,2024-01-25 09:30:00,10 10,15 25,0,70700,70800,100,66.1,66.8,4.6,4.2,1875.9,124.09999999999998,-123.8,-10.749999999999993,81.64999999999999,68.50000000000001,52.050000000000026,54.70000000000003,26.700000000000014,31.650000000000016,37.65000000000002,105.3,104.95,83.55000000000001,64.05000000000003,74.2,38.15000000000002,35.10000000000002,36.500000000000014,29.900000000000013,17.950000000000017,4.550000000000016,51.45000000000002,33.100000000000016,11.400000000000013,1.3000000000000114,-11.749999999999982,-5.899999999999984,-20.649999999999984,-44.59999999999999,-56.899999999999984,-57.29999999999999,-61.05,-57.099999999999994,-68.44999999999999,-72.14999999999999,-62.949999999999996,-62.499999999999986,-53.44999999999999,-67.14999999999999,-67.49999999999999,-65.29999999999998,-62.29999999999998,-65.0,-72.3,-86.14999999999999,-93.24999999999997,-85.39999999999999,-98.54999999999998,-101.64999999999998,-105.89999999999999,-93.94999999999999,-100.94999999999999,-107.44999999999999,-112.79999999999998,-112.94999999999999,-107.89999999999999,-115.64999999999998,-115.39999999999999,-117.29999999999998,-118.49999999999999,-121.25,-122.64999999999998,-123.15,-123.44999999999999,-123.74999999999999,
