instru,expiry,dte,atm,atm_exit,atm_diff,pnl,vix
FINNIFTY,2023-05-02 00:00:00,3,19000,19200,200,68.2,11.9
FINNIFTY,2023-03-14 00:00:00,3,18250,17550,-700,63.7,16.22
FINNIFTY,2023-01-31 00:00:00,3,18500,18100,-400,61.4,16.88
FINNIFTY,2023-02-28 00:00:00,3,17900,18000,100,-53.0,14.02
FINNIFTY,2023-01-03 00:00:00,3,19100,19200,100,-49.0,14.39
FINNIFTY,2023-05-09 00:00:00,3,19500,19250,-250,74.4,12.68
FINNIFTY,2023-02-07 00:00:00,3,18050,18400,350,45.9,14.13
FINNIFTY,2023-04-11 00:00:00,3,18400,18600,200,45.7,11.98
FINNIFTY,2023-04-25 00:00:00,3,18800,18950,150,32.2,11.52
FINNIFTY,2023-03-06 00:00:00,3,18100,18400,300,66.3,12.27
FINNIFTY,2023-01-17 00:00:00,3,18550,18650,100,-92.8,14.59
FINNIFTY,2023-04-18 00:00:00,3,18700,18750,50,-73.9,12.08
FINNIFTY,2023-01-10 00:00:00,3,18800,18500,-300,54.9,15.51
FINNIFTY,2023-02-14 00:00:00,3,18500,18600,100,-41.2,13.45
FINNIFTY,2023-04-03 00:00:00,3,17650,18150,500,55.2,12.59
FINNIFTY,2023-03-28 00:00:00,3,17750,17650,-100,-60.4,15.1
FINNIFTY,2023-02-21 00:00:00,3,18550,18250,-300,66.6,14.01
FINNIFTY,2023-01-24 00:00:00,3,18750,18900,150,1.1,13.66
FINNIFTY,2023-03-21 00:00:00,3,17500,17800,300,50.5,15.08
