instru,expiry,time,sl,ce entry,ce pnl,ce sl num,ce reentries,pe entry,pe pnl,pe sl num,pe reentries
FINNIFTY,2024-02-20 00:00:00,10 10,40,79.55,-22.2,0,0,62.1,62.0,0,0
FINNIFTY,2023-10-17 00:00:00,10 10,40,21.95,13.1,1,1,33.7,27.4,0,0
FINNIFTY,2024-07-23 00:00:00,10 10,40,198.45,198.4,0,0,230.15,-184.1,2,1
FINNIFTY,2023-01-24 00:00:00,10 10,40,34.8,34.7,0,0,44.4,-35.5,2,1
FINNIFTY,2023-08-08 00:00:00,10 10,40,51.3,-41.0,2,1,47.9,47.8,0,0
FINNIFTY,2023-05-16 00:00:00,10 10,40,29.65,29.6,0,0,42.0,-33.6,2,1
FINNIFTY,2023-10-10 00:00:00,10 10,40,27.3,-10.9,1,0,28.85,28.8,0,0
FINNIFTY,2023-06-13 00:00:00,10 10,40,33.75,13.9,0,0,24.6,-19.7,2,1
FINNIFTY,2024-01-09 00:00:00,10 10,40,30.6,18.3,1,1,34.45,-27.6,2,1
FINNIFTY,2024-04-16 00:00:00,10 10,40,45.5,-2.8,0,0,35.3,35.2,0,0
FINNIFTY,2023-11-13 00:00:00,10 10,40,29.65,-23.7,2,1,24.15,6.8,1,1
FINNIFTY,2023-08-14 00:00:00,10 10,40,45.2,-18.1,1,0,41.8,41.8,0,0
FINNIFTY,2024-08-20 00:00:00,10 10,40,50.4,-40.3,2,1,39.05,39.0,0,0
FINNIFTY,2023-03-21 00:00:00,10 10,40,63.7,-25.5,1,0,51.85,51.8,0,0
FINNIFTY,2024-08-06 00:00:00,10 10,40,65.35,65.2,0,0,90.3,-72.2,2,1
FINNIFTY,2024-08-27 00:00:00,10 10,40,74.25,-29.7,1,0,50.75,30.4,1,1
FINNIFTY,2024-07-02 00:00:00,10 10,40,54.45,53.1,0,0,84.3,-67.4,2,1
FINNIFTY,2024-06-18 00:00:00,10 10,40,40.35,-32.3,2,1,38.25,-30.6,2,1
FINNIFTY,2023-07-18 00:00:00,10 10,40,52.25,31.3,1,1,77.25,-30.9,1,0
FINNIFTY,2024-06-04 00:00:00,10 10,40,270.4,270.2,0,0,299.7,-119.9,1,0
FINNIFTY,2023-11-07 00:00:00,10 10,40,18.7,-15.0,2,1,49.85,-39.9,2,1
FINNIFTY,2023-07-04 00:00:00,10 10,40,44.55,-35.6,2,1,61.7,61.6,0,0
FINNIFTY,2024-05-28 00:00:00,10 10,40,46.75,28.0,1,1,50.9,13.8,1,1
FINNIFTY,2024-04-02 00:00:00,10 10,40,38.6,-30.9,2,1,43.3,43.1,0,0
FINNIFTY,2023-11-21 00:00:00,10 10,40,27.7,16.4,0,0,27.3,27.2,0,0
FINNIFTY,2024-07-16 00:00:00,10 10,40,63.0,62.8,0,0,50.7,48.6,0,0
FINNIFTY,2023-09-12 00:00:00,10 10,40,36.7,33.6,0,0,37.2,-29.8,2,1
